Admit Source;Admit Type;Appt Start Time;Care Score;Check-In Time;Clinic Name;Department;Diagnosis Primary;Discharge Datetime new;Encounter Number;Encounter Status;Number of Records;Wait Time Min
Investment;Emergency;3/02/2020 14:13;3;3/02/2020 14:13;CitiBank Colombia;Recurring Deposit;;;STA-200203-014999;Inpatient Discharged;1;0
Cards;Emergency;3/02/2020 14:13;3;3/02/2020 14:13;CitiBank Colombia;Recurring Deposit;;;STA-200203-014997;Inpatient Discharged;1;3
Banking;Emergency;3/02/2020 14:09;3;3/02/2020 14:09;CitiBank Colombia;Recurring Deposit;;;STA-200203-014965;Inpatient Discharged;1;124
Deposit Account;Emergency;3/02/2020 14:04;3;3/02/2020 14:04;CitiBank Colombia;Mobile Banking;;;STA-200203-014907;Inpatient Discharged;1;88
Loans;Emergency;3/02/2020 13:50;3;3/02/2020 13:50;CitiBank Colombia;Mobile Banking;;;STA-200203-014750;Inpatient Discharged;1;117
Investment;Elective;3/02/2020 13:50;5;3/02/2020 13:50;CitiBank Colombia;Savings Account;;;STA-200203-014749;Inpatient Discharged;1;31
Cards;Elective;3/02/2020 13:46;2;3/02/2020 13:46;CitiBank Colombia;Savings Account;;;STA-200203-014695;Inpatient Discharged;1;48
Banking;Elective;3/02/2020 13:40;2;3/02/2020 13:40;CitiBank Colombia;Savings Account;;;STA-200203-014654;Inpatient Discharged;1;68
Deposit Account;Emergency;3/02/2020 13:36;2;3/02/2020 13:36;CitiBank Colombia;Mobile Banking;;;STA-200203-014604;Inpatient Discharged;1;19
Loans;Emergency;3/02/2020 13:34;2;3/02/2020 13:34;CitiBank Colombia;Mobile Banking;;;STA-200203-014577;Inpatient Discharged;1;41
Investment;Emergency;3/02/2020 13:21;2;3/02/2020 13:21;CitiBank Colombia;Mobile Banking;;;STA-200203-014448;Inpatient Discharged;1;112
Cards;Emergency;3/02/2020 13:10;2;3/02/2020 13:10;CitiBank Colombia;Mobile Banking;;;STA-200203-014340;Inpatient Discharged;1;133
Banking;Elective;3/02/2020 13:06;2;3/02/2020 13:06;CitiBank Colombia;Fixed Deposit;;;STA-200203-014304;Inpatient Discharged;1;44
Deposit Account;Elective;3/02/2020 13:05;4;3/02/2020 13:05;CitiBank Colombia;Fixed Deposit;;;STA-200203-014291;Inpatient Discharged;1;45
Loans;Elective;3/02/2020 13:04;2;3/02/2020 13:04;CitiBank Colombia;Fixed Deposit;;;STA-200203-014279;Inpatient Discharged;1;79
Investment;Emergency;3/02/2020 12:58;4;3/02/2020 12:58;CitiBank Colombia;Mobile Banking;;;STA-200203-014212;Inpatient Discharged;1;0
Cards;Emergency;3/02/2020 12:36;4;3/02/2020 12:36;CitiBank Colombia;Mobile Banking;;;STA-200203-013884;Inpatient Discharged;1;42
Banking;Emergency;3/02/2020 12:35;2;3/02/2020 12:35;CitiBank Colombia;Mobile Banking;;;STA-200203-013869;Inpatient Discharged;1;109
Deposit Account;Elective;3/02/2020 12:35;4;3/02/2020 12:35;CitiBank Colombia;Recurring Deposit;;;STA-200203-013866;Inpatient Discharged;1;18
Loans;Elective;3/02/2020 12:33;5;3/02/2020 12:33;CitiBank Colombia;Recurring Deposit;;;STA-200203-013846;Inpatient Discharged;1;22
Investment;Elective;3/02/2020 12:32;3;3/02/2020 12:32;CitiBank Colombia;Recurring Deposit;;;STA-200203-013843;Inpatient Discharged;1;99
Cards;Elective;3/02/2020 12:31;3;3/02/2020 12:31;CitiBank Colombia;Recurring Deposit;;;STA-200203-013828;Inpatient Discharged;1;110
Banking;Emergency;3/02/2020 12:28;2;3/02/2020 12:28;CitiBank Colombia;Mobile Banking;;;STA-200203-013782;Inpatient Discharged;1;93
Deposit Account;Emergency;3/02/2020 12:25;3;3/02/2020 12:25;CitiBank Colombia;Mobile Banking;;;STA-200203-013746;Inpatient Discharged;1;111
Loans;Urgent;3/02/2020 12:19;5;3/02/2020 12:19;CitiBank Colombia;Mobile Banking;;;STA-200203-013668;Inpatient Discharged;1;31
Investment;Urgent;3/02/2020 12:18;4;3/02/2020 12:18;CitiBank Colombia;Mobile Banking;;;STA-200203-013652;Inpatient Discharged;1;70
Cards;Urgent;3/02/2020 12:15;2;3/02/2020 12:15;CitiBank Colombia;Mobile Banking;;;STA-200203-013621;Inpatient Discharged;1;113
Banking;Elective;3/02/2020 12:13;2;3/02/2020 12:13;CitiBank Colombia;Savings Account;;;STA-200203-013591;Inpatient Discharged;1;41
Deposit Account;Elective;3/02/2020 12:10;4;3/02/2020 12:10;CitiBank Colombia;Savings Account;;;STA-200203-013558;Inpatient Discharged;1;110
Loans;Urgent;3/02/2020 12:00;2;3/02/2020 12:00;CitiBank Colombia;Mobile Banking;;;STA-200203-013416;Inpatient Discharged;1;42
Investment;Urgent;3/02/2020 12:00;2;3/02/2020 12:00;CitiBank Colombia;Mobile Banking;;;STA-200203-013413;Inpatient Discharged;1;103
Cards;Urgent;3/02/2020 11:58;5;3/02/2020 11:58;CitiBank Colombia;Mobile Banking;;;STA-200203-013395;Inpatient Discharged;1;35
Banking;Urgent;3/02/2020 11:58;2;3/02/2020 11:58;CitiBank Colombia;Mobile Banking;;;STA-200203-013391;Inpatient Discharged;1;106
Deposit Account;Emergency;3/02/2020 11:58;6;3/02/2020 11:58;CitiBank Colombia;Net Banking;;;STA-200203-013390;Inpatient Discharged;1;34
Loans;Emergency;3/02/2020 11:54;2;3/02/2020 11:54;CitiBank Colombia;Net Banking;;;STA-200203-013338;Inpatient Discharged;1;109
Investment;Emergency;3/02/2020 11:52;6;3/02/2020 11:52;CitiBank Colombia;Fixed Deposit;;;STA-200203-013320;Inpatient Discharged;1;10
Cards;Emergency;3/02/2020 11:52;3;3/02/2020 11:52;CitiBank Colombia;Fixed Deposit;;;STA-200203-013319;Inpatient Discharged;1;68
Banking;Emergency;3/02/2020 11:51;3;3/02/2020 11:51;CitiBank Colombia;Fixed Deposit;;;STA-200203-013292;Inpatient Discharged;1;73
Deposit Account;Emergency;3/02/2020 11:50;3;3/02/2020 11:50;CitiBank Colombia;Fixed Deposit;;;STA-200203-013282;Inpatient Discharged;1;80
Loans;Emergency;3/02/2020 11:48;2;3/02/2020 11:48;CitiBank Colombia;Fixed Deposit;;;STA-200203-013249;Inpatient Discharged;1;86
Investment;Emergency;3/02/2020 11:45;2;3/02/2020 11:45;CitiBank Colombia;Fixed Deposit;;;STA-200203-013217;Inpatient Discharged;1;110
Cards;Elective;3/02/2020 11:44;2;3/02/2020 11:44;CitiBank Colombia;Customer Care;;;STA-200203-013197;Inpatient Discharged;1;19
Banking;Elective;3/02/2020 11:43;3;3/02/2020 11:43;CitiBank Colombia;Customer Care;;;STA-200203-013188;Inpatient Discharged;1;25
Deposit Account;Elective;3/02/2020 11:43;4;3/02/2020 11:43;CitiBank Colombia;Customer Care;;;STA-200203-013187;Inpatient Discharged;1;28
Loans;Emergency;3/02/2020 11:42;4;3/02/2020 11:42;CitiBank Colombia;Net Banking;;;STA-200203-013168;Inpatient Discharged;1;0
Investment;Emergency;3/02/2020 11:42;3;3/02/2020 11:42;CitiBank Colombia;Net Banking;;;STA-200203-013163;Inpatient Discharged;1;61
Cards;Emergency;3/02/2020 11:41;2;3/02/2020 11:41;CitiBank Colombia;Personal Loan;;;STA-200203-013159;Inpatient Discharged;1;107
Banking;Emergency;3/02/2020 11:39;3;3/02/2020 11:39;CitiBank Colombia;Personal Loan;;;STA-200203-013133;Inpatient Discharged;1;123
Deposit Account;Elective;3/02/2020 11:38;2;3/02/2020 11:38;CitiBank Colombia;Customer Care;;;STA-200203-013116;Inpatient Discharged;1;10
Loans;Elective;3/02/2020 11:37;4;3/02/2020 11:37;CitiBank Colombia;Customer Care;;;STA-200203-013105;Inpatient Discharged;1;29
Investment;Elective;3/02/2020 11:36;3;3/02/2020 11:36;CitiBank Colombia;Customer Care;;;STA-200203-013087;Inpatient Discharged;1;140
Cards;Emergency;3/02/2020 11:36;2;3/02/2020 11:36;CitiBank Colombia;Savings Account;;;STA-200203-013085;Inpatient Discharged;1;6
Banking;Elective;3/02/2020 11:36;4;3/02/2020 11:36;CitiBank Colombia;Personal Loan;;;STA-200203-013082;Inpatient Discharged;1;16
Deposit Account;Emergency;3/02/2020 11:33;2;3/02/2020 11:33;CitiBank Colombia;Savings Account;;;STA-200203-013027;Inpatient Discharged;1;86
Loans;Elective;3/02/2020 11:33;2;3/02/2020 11:33;CitiBank Colombia;Personal Loan;;;STA-200203-013023;Inpatient Discharged;1;95
Investment;Elective;3/02/2020 11:31;3;3/02/2020 11:31;CitiBank Colombia;Personal Loan;;;STA-200203-012993;Inpatient Discharged;1;97
Cards;Emergency;3/02/2020 11:30;3;3/02/2020 11:30;CitiBank Colombia;Mobile Banking;;;STA-200203-012990;OBS Discharged;1;101
Banking;Emergency;3/02/2020 11:29;2;3/02/2020 11:29;CitiBank Colombia;Mobile Banking;;;STA-200203-012978;OBS Discharged;1;118
Deposit Account;Elective;3/02/2020 11:29;3;3/02/2020 11:29;CitiBank Colombia;Mobile Banking;;;STA-200203-012977;Discharged;1;19
Loans;Elective;3/02/2020 11:28;2;3/02/2020 11:28;CitiBank Colombia;Mobile Banking;;;STA-200203-012957;Discharged;1;28
Investment;Elective;3/02/2020 11:27;2;3/02/2020 11:27;CitiBank Colombia;Mobile Banking;;;STA-200203-012950;Discharged;1;72
Cards;Emergency;3/02/2020 11:27;4;3/02/2020 11:27;CitiBank Colombia;Fixed Deposit;;;STA-200203-012939;OBS Discharged;1;63
Banking;Emergency;3/02/2020 11:26;2;3/02/2020 11:26;CitiBank Colombia;Fixed Deposit;;;STA-200203-012936;OBS Discharged;1;86
Deposit Account;Emergency;3/02/2020 11:26;4;3/02/2020 11:26;CitiBank Colombia;Mobile Banking;;;STA-200203-012934;OBS Discharged;1;5
Loans;Emergency;3/02/2020 11:22;4;3/02/2020 11:22;CitiBank Colombia;Mobile Banking;;;STA-200203-012860;OBS Discharged;1;11
Investment;Urgent;3/02/2020 11:20;3;3/02/2020 11:20;CitiBank Colombia;Mobile Banking;;;STA-200203-012834;Discharged;1;35
Cards;Urgent;3/02/2020 11:19;3;3/02/2020 11:19;CitiBank Colombia;Mobile Banking;;;STA-200203-012826;Discharged;1;130
Banking;Elective;3/02/2020 11:15;4;3/02/2020 11:15;CitiBank Colombia;Mobile Banking;;;STA-200203-012782;Inpatient Discharged;1;4
Deposit Account;Elective;3/02/2020 11:14;2;3/02/2020 11:14;CitiBank Colombia;Mobile Banking;;;STA-200203-012763;Inpatient Discharged;1;108
Loans;Emergency;3/02/2020 11:14;3;3/02/2020 11:14;CitiBank Colombia;Mobile Banking;;;STA-200203-012762;Inpatient Discharged;1;28
Investment;Emergency;3/02/2020 11:13;2;3/02/2020 11:13;CitiBank Colombia;Mobile Banking;;;STA-200203-012744;Inpatient Discharged;1;41
Cards;Emergency;3/02/2020 11:11;2;3/02/2020 11:11;CitiBank Colombia;Mobile Banking;;;STA-200203-012712;Inpatient Discharged;1;50
Banking;Emergency;3/02/2020 11:09;2;3/02/2020 11:09;CitiBank Colombia;Mobile Banking;;;STA-200203-012678;Inpatient Discharged;1;81
Deposit Account;Emergency;3/02/2020 11:07;2;3/02/2020 11:07;CitiBank Colombia;Current Account;;;STA-200203-012650;ED Discharged;1;99
Loans;Emergency;3/02/2020 11:05;2;3/02/2020 11:05;CitiBank Colombia;Current Account;;;STA-200203-012614;ED Discharged;1;128
Investment;Emergency;3/02/2020 11:02;4;3/02/2020 11:02;CitiBank Colombia;Mobile Banking;;;STA-200203-012564;Inpatient Discharged;1;27
Cards;Emergency;3/02/2020 11:01;2;3/02/2020 11:01;CitiBank Colombia;Mobile Banking;;;STA-200203-012540;Inpatient Discharged;1;109
Banking;Emergency;3/02/2020 11:01;3;3/02/2020 11:01;CitiBank Colombia;Mobile Banking;;;STA-200203-012537;Inpatient Discharged;1;69
Deposit Account;Emergency;3/02/2020 11:00;2;3/02/2020 11:00;CitiBank Colombia;Mobile Banking;;;STA-200203-012527;Inpatient Discharged;1;130
Loans;Urgent;3/02/2020 11:00;3;3/02/2020 11:00;CitiBank Colombia;Balance Enquiry;;;STA-200203-012524;OBS Discharged;1;14
Investment;Urgent;3/02/2020 10:48;2;3/02/2020 10:48;CitiBank Colombia;Balance Enquiry;;;STA-200203-012333;OBS Discharged;1;112
Cards;Elective;3/02/2020 10:47;2;3/02/2020 10:47;CitiBank Colombia;Savings Account;;;STA-200203-012308;Inpatient Discharged;1;23
Banking;Elective;3/02/2020 10:47;3;3/02/2020 10:47;CitiBank Colombia;Savings Account;;;STA-200203-012299;Inpatient Discharged;1;69
Deposit Account;Emergency;3/02/2020 10:46;2;3/02/2020 10:46;CitiBank Colombia;Mobile Banking;;;STA-200203-012277;OBS Discharged;1;111
Loans;Emergency;3/02/2020 10:42;2;3/02/2020 10:42;CitiBank Colombia;Mobile Banking;;;STA-200203-012209;OBS Discharged;1;134
Investment;Emergency;3/02/2020 10:42;2;3/02/2020 10:42;CitiBank Colombia;Mobile Banking;;;STA-200203-012208;OBS Discharged;1;104
Cards;Emergency;3/02/2020 10:40;2;3/02/2020 10:40;CitiBank Colombia;Mobile Banking;;;STA-200203-012189;OBS Discharged;1;143
Banking;Emergency;3/02/2020 10:39;3;3/02/2020 10:39;CitiBank Colombia;Current Account;;;STA-200203-012163;ED Discharged;1;44
Deposit Account;Emergency;3/02/2020 10:33;2;3/02/2020 10:33;CitiBank Colombia;Current Account;;;STA-200203-012069;ED Discharged;1;122
Loans;Emergency;3/02/2020 10:23;3;3/02/2020 10:23;CitiBank Colombia;Current Account;;;STA-200203-011902;ED Discharged;1;115
Investment;Emergency;3/02/2020 10:20;2;3/02/2020 10:20;CitiBank Colombia;Current Account;;;STA-200203-011847;ED Discharged;1;137
Cards;Emergency;3/02/2020 10:20;2;3/02/2020 10:20;CitiBank Colombia;Current Account;;;STA-200203-011843;ED Discharged;1;129
Banking;Emergency;3/02/2020 10:19;3;3/02/2020 10:19;CitiBank Colombia;Current Account;;;STA-200203-011815;ED Discharged;1;59
Deposit Account;Emergency;3/02/2020 10:19;4;3/02/2020 10:19;CitiBank Colombia;Current Account;;;STA-200203-011814;ED Discharged;1;66
Loans;Emergency;3/02/2020 10:18;4;3/02/2020 10:18;CitiBank Colombia;Current Account;;;STA-200203-011800;ED Discharged;1;16
Investment;Emergency;3/02/2020 10:18;3;3/02/2020 10:18;CitiBank Colombia;Current Account;;;STA-200203-011790;ED Discharged;1;32
Cards;Emergency;3/02/2020 10:17;3;3/02/2020 10:17;CitiBank Colombia;Current Account;;;STA-200203-011761;Discharged;1;103
Banking;Emergency;3/02/2020 10:16;3;3/02/2020 10:16;CitiBank Colombia;Current Account;;;STA-200203-011748;ED Discharged;1;65
Deposit Account;Emergency;3/02/2020 10:14;4;3/02/2020 10:14;CitiBank Colombia;Current Account;;;STA-200203-011711;ED Discharged;1;2
Loans;Emergency;3/02/2020 10:13;5;3/02/2020 10:13;CitiBank Colombia;Current Account;;;STA-200203-011685;ED Discharged;1;35
Investment;Emergency;3/02/2020 10:13;3;3/02/2020 10:13;CitiBank Colombia;Current Account;;;STA-200203-011684;ED Discharged;1;98
Cards;Emergency;3/02/2020 10:11;3;3/02/2020 10:11;CitiBank Colombia;Current Account;;;STA-200203-011660;ED Discharged;1;12
Banking;Emergency;3/02/2020 10:08;4;3/02/2020 10:08;CitiBank Colombia;Current Account;;;STA-200203-011588;ED Discharged;1;107
Deposit Account;Emergency;3/02/2020 10:06;5;3/02/2020 10:06;CitiBank Colombia;Current Account;;;STA-200203-011543;ED Discharged;1;68
Loans;Emergency;3/02/2020 10:03;3;3/02/2020 10:03;CitiBank Colombia;Current Account;;;STA-200203-011478;ED Discharged;1;78
Investment;Emergency;3/02/2020 10:00;3;3/02/2020 10:00;CitiBank Colombia;Mobile Banking;;;STA-200203-011421;Inpatient Discharged;1;19
Cards;Emergency;3/02/2020 9:58;4;3/02/2020 9:58;CitiBank Colombia;Mobile Banking;;;STA-200203-011374;Inpatient Discharged;1;22
Banking;Emergency;3/02/2020 9:58;5;3/02/2020 9:58;CitiBank Colombia;Mobile Banking;;;STA-200203-011373;Inpatient Discharged;1;58
Deposit Account;Emergency;3/02/2020 9:55;3;3/02/2020 9:55;CitiBank Colombia;Mobile Banking;;;STA-200203-011296;Inpatient Discharged;1;64
Loans;Emergency;3/02/2020 9:54;4;3/02/2020 9:54;CitiBank Colombia;Current Account;;;STA-200203-011291;ED Discharged;1;89
Investment;Emergency;3/02/2020 9:54;2;3/02/2020 9:54;CitiBank Colombia;Current Account;;;STA-200203-011288;ED Discharged;1;76
Cards;Emergency;3/02/2020 9:53;3;3/02/2020 9:53;CitiBank Colombia;Current Account;;;STA-200203-011253;ED Discharged;1;30
Banking;Emergency;3/02/2020 9:52;3;3/02/2020 9:52;CitiBank Colombia;Current Account;;;STA-200203-011217;ED Discharged;1;110
Deposit Account;Emergency;3/02/2020 9:51;4;3/02/2020 9:51;CitiBank Colombia;Current Account;;;STA-200203-011177;ED Discharged;1;54
Loans;Emergency;3/02/2020 9:45;4;3/02/2020 9:45;CitiBank Colombia;Current Account;;;STA-200203-011010;ED Discharged;1;133
Investment;Emergency;3/02/2020 9:44;4;3/02/2020 9:44;CitiBank Colombia;Current Account;;;STA-200203-010984;ED Discharged;1;36
Cards;Emergency;3/02/2020 9:42;3;3/02/2020 9:42;CitiBank Colombia;Current Account;;;STA-200203-010942;ED Discharged;1;20
Banking;Emergency;3/02/2020 9:42;3;3/02/2020 9:42;CitiBank Colombia;Current Account;;;STA-200203-010933;ED Discharged;1;30
Deposit Account;Emergency;3/02/2020 9:39;5;3/02/2020 9:39;CitiBank Colombia;Current Account;;;STA-200203-010876;ED Discharged;1;16
Loans;Emergency;3/02/2020 9:37;4;3/02/2020 9:37;CitiBank Colombia;Current Account;;;STA-200203-010850;ED Discharged;1;103
Investment;Emergency;3/02/2020 9:33;5;3/02/2020 9:33;CitiBank Colombia;Current Account;;;STA-200203-010746;ED Discharged;1;3
Cards;Elective;3/02/2020 9:31;3;3/02/2020 9:31;CitiBank Colombia;Debit Card;;;STA-200203-010689;Day Surg Discharged;1;30
Banking;Elective;3/02/2020 9:29;2;3/02/2020 9:29;CitiBank Colombia;Debit Card;;;STA-200203-010633;Day Surg Discharged;1;135
Deposit Account;Elective;3/02/2020 9:28;3;3/02/2020 9:28;CitiBank Colombia;Debit Card;;;STA-200203-010609;Day Surg Discharged;1;90
Loans;Elective;3/02/2020 9:19;2;3/02/2020 9:19;CitiBank Colombia;Debit Card;;;STA-200203-010437;Day Surg Discharged;1;128
Investment;Elective;3/02/2020 9:18;5;3/02/2020 9:18;CitiBank Colombia;Debit Card;;;STA-200203-010414;Day Surg Discharged;1;51
Cards;Elective;3/02/2020 9:17;4;3/02/2020 9:17;CitiBank Colombia;Debit Card;;;STA-200203-010386;Day Surg Discharged;1;84
Banking;Emergency;3/02/2020 9:16;2;3/02/2020 9:16;CitiBank Colombia;Current Account;;;STA-200203-010366;ED Discharged;1;137
Deposit Account;Emergency;3/02/2020 9:15;4;3/02/2020 9:15;CitiBank Colombia;Current Account;;;STA-200203-010340;ED Discharged;1;2
Loans;Elective;3/02/2020 9:11;5;3/02/2020 9:11;CitiBank Colombia;Debit Card;;;STA-200203-010257;Day Surg Discharged;1;27
Investment;Emergency;3/02/2020 9:11;3;3/02/2020 9:11;CitiBank Colombia;Current Account;;;STA-200203-010254;ED Discharged;1;64
Cards;Emergency;3/02/2020 9:11;2;3/02/2020 9:11;CitiBank Colombia;Current Account;;;STA-200203-010252;ED Discharged;1;137
Banking;Emergency;3/02/2020 9:09;3;3/02/2020 9:09;CitiBank Colombia;Current Account;;;STA-200203-010213;ED Discharged;1;60
Deposit Account;Emergency;3/02/2020 9:06;4;3/02/2020 9:06;CitiBank Colombia;Current Account;;;STA-200203-010158;ED Discharged;1;38
Loans;Emergency;3/02/2020 9:02;3;3/02/2020 9:02;CitiBank Colombia;Current Account;;;STA-200203-010102;Discharged;1;47
Investment;Emergency;3/02/2020 9:02;3;3/02/2020 9:02;CitiBank Colombia;Current Account;;;STA-200203-010090;ED Discharged;1;12
Cards;Emergency;3/02/2020 9:00;5;3/02/2020 9:00;CitiBank Colombia;Current Account;;;STA-200203-010051;ED Discharged;1;53
Banking;Elective;3/02/2020 8:59;3;3/02/2020 8:59;CitiBank Colombia;Debit Card;;;STA-200203-010027;Day Surg Discharged;1;62
Deposit Account;Elective;3/02/2020 8:59;3;3/02/2020 8:59;CitiBank Colombia;Debit Card;;;STA-200203-010025;Day Surg Discharged;1;69
Loans;Elective;3/02/2020 8:57;4;3/02/2020 8:57;CitiBank Colombia;Debit Card;;;STA-200203-009977;Day Surg Discharged;1;42
Investment;Elective;3/02/2020 8:54;3;3/02/2020 8:54;CitiBank Colombia;Debit Card;;;STA-200203-009905;Day Surg Discharged;1;66
Cards;Emergency;3/02/2020 8:54;4;3/02/2020 8:54;CitiBank Colombia;Current Account;;;STA-200203-009895;ED Discharged;1;124
Banking;Emergency;3/02/2020 8:53;5;3/02/2020 8:53;CitiBank Colombia;Current Account;;;STA-200203-009880;ED Discharged;1;66
Deposit Account;Emergency;3/02/2020 8:53;3;3/02/2020 8:53;CitiBank Colombia;Current Account;;;STA-200203-009878;ED Discharged;1;61
Loans;Emergency;3/02/2020 8:53;3;3/02/2020 8:53;CitiBank Colombia;Current Account;;;STA-200203-009876;ED Discharged;1;66
Investment;Emergency;3/02/2020 8:52;4;3/02/2020 8:52;CitiBank Colombia;Current Account;;;STA-200203-009856;ED Discharged;1;30
Cards;Elective;3/02/2020 8:47;4;3/02/2020 8:47;CitiBank Colombia;Debit Card;;;STA-200203-009762;Day Surg Discharged;1;13
Banking;Elective;3/02/2020 8:44;3;3/02/2020 8:44;CitiBank Colombia;Debit Card;;;STA-200203-009702;Day Surg Discharged;1;112
Deposit Account;Emergency;3/02/2020 8:43;3;3/02/2020 8:43;CitiBank Colombia;Current Account;;;STA-200203-009678;ED Discharged;1;79
Loans;Elective;3/02/2020 8:41;2;3/02/2020 8:41;CitiBank Colombia;Debit Card;;;STA-200203-009620;Day Surg Discharged;1;101
Investment;Elective;3/02/2020 8:40;4;3/02/2020 8:40;CitiBank Colombia;Debit Card;;;STA-200203-009607;Day Surg Discharged;1;104
Cards;Emergency;3/02/2020 8:30;4;3/02/2020 8:30;CitiBank Colombia;Current Account;;;STA-200203-009414;ED Discharged;1;112
Banking;Emergency;3/02/2020 8:29;5;3/02/2020 8:29;CitiBank Colombia;Current Account;;;STA-200203-009402;Discharged;1;19
Deposit Account;Emergency;3/02/2020 8:29;2;3/02/2020 8:29;CitiBank Colombia;Current Account;;;STA-200203-009389;Discharged;1;83
Loans;Emergency;3/02/2020 8:27;2;3/02/2020 8:27;CitiBank Colombia;Current Account;;;STA-200203-009362;ED Discharged;1;140
Investment;Emergency;3/02/2020 8:27;3;3/02/2020 8:27;CitiBank Colombia;Current Account;;;STA-200203-009351;ED Discharged;1;101
Cards;Emergency;3/02/2020 8:21;4;3/02/2020 8:21;CitiBank Colombia;Current Account;;;STA-200203-009230;Discharged;1;11
Banking;Emergency;3/02/2020 8:16;3;3/02/2020 8:16;CitiBank Colombia;Current Account;;;STA-200203-009117;Discharged;1;142
Deposit Account;Emergency;3/02/2020 8:05;5;3/02/2020 8:05;CitiBank Colombia;Current Account;;;STA-200203-008916;ED Discharged;1;12
Loans;Emergency;3/02/2020 8:05;4;3/02/2020 8:05;CitiBank Colombia;Current Account;;;STA-200203-008913;ED Discharged;1;6
Investment;Emergency;3/02/2020 8:04;3;3/02/2020 8:04;CitiBank Colombia;Current Account;;;STA-200203-008891;ED Discharged;1;109
Cards;Emergency;3/02/2020 8:03;3;3/02/2020 8:03;CitiBank Colombia;Current Account;;;STA-200203-008875;ED Discharged;1;65
Banking;Emergency;3/02/2020 8:01;2;3/02/2020 8:01;CitiBank Colombia;Current Account;;;STA-200203-008840;Discharged;1;75
Deposit Account;Emergency;3/02/2020 8:00;5;3/02/2020 8:00;CitiBank Colombia;Current Account;;;STA-200203-008812;ED Discharged;1;38
Loans;Emergency;3/02/2020 7:57;2;3/02/2020 7:57;CitiBank Colombia;Current Account;;;STA-200203-008747;ED Discharged;1;112
Investment;Emergency;3/02/2020 7:49;4;3/02/2020 7:49;CitiBank Colombia;Current Account;;;STA-200203-008604;ED Discharged;1;89
Cards;Emergency;3/02/2020 7:47;3;3/02/2020 7:47;CitiBank Colombia;Current Account;;;STA-200203-008564;ED Discharged;1;89
Banking;Emergency;3/02/2020 7:44;3;3/02/2020 7:44;CitiBank Colombia;Current Account;;;STA-200203-008512;ED Discharged;1;114
Deposit Account;Emergency;3/02/2020 7:41;4;3/02/2020 7:41;CitiBank Colombia;Current Account;;;STA-200203-008460;ED Discharged;1;50
Loans;Emergency;3/02/2020 4:04;4;3/02/2020 4:04;CitiBank Colombia;Current Account;;;STA-200203-004342;ED Discharged;1;20
Investment;Emergency;3/02/2020 2:00;5;3/02/2020 2:00;CitiBank Colombia;Current Account;;;STA-200203-001754;ED Discharged;1;41
Cards;Emergency;2/02/2020 20:53;4;2/02/2020 20:53;CitiBank Colombia;Current Account;;;STA-200202-001666;ED Discharged;1;68
Banking;Emergency;2/02/2020 20:36;4;2/02/2020 20:36;CitiBank Colombia;Current Account;;;STA-200202-001541;Discharged;1;86
Deposit Account;Emergency;2/02/2020 20:22;4;2/02/2020 20:22;CitiBank Colombia;Current Account;;;STA-200202-001451;ED Discharged;1;40
Loans;Emergency;2/02/2020 17:51;5;2/02/2020 17:51;CitiBank Colombia;Current Account;;;STA-200202-001157;ED Discharged;1;58
Investment;Emergency;2/02/2020 17:24;4;2/02/2020 17:24;CitiBank Colombia;Current Account;;;STA-200202-001142;ED Discharged;1;104
Cards;Emergency;2/02/2020 14:10;5;2/02/2020 14:10;CitiBank Colombia;Current Account;;;STA-200202-001055;Discharged;1;65
Banking;Emergency;2/02/2020 12:29;4;2/02/2020 12:29;CitiBank Colombia;Current Account;;;STA-200202-000997;ED Discharged;1;6
Deposit Account;Emergency;2/02/2020 12:21;2;2/02/2020 12:21;CitiBank Colombia;Current Account;;;STA-200202-000994;ED Discharged;1;123
Loans;Emergency;2/02/2020 12:20;4;2/02/2020 12:20;CitiBank Colombia;Current Account;;;STA-200202-000992;ED Discharged;1;43
Investment;Emergency;2/02/2020 11:32;5;2/02/2020 11:32;CitiBank Colombia;Current Account;;;STA-200202-000962;ED Discharged;1;33
Cards;Emergency;2/02/2020 11:25;4;2/02/2020 11:25;CitiBank Colombia;Current Account;;;STA-200202-000948;ED Discharged;1;16
Banking;Emergency;2/02/2020 11:10;5;2/02/2020 11:10;CitiBank Colombia;Current Account;;;STA-200202-000929;ED Discharged;1;30
Deposit Account;Emergency;2/02/2020 11:04;4;2/02/2020 11:04;CitiBank Colombia;Current Account;;;STA-200202-000924;ED Discharged;1;90
Loans;Emergency;2/02/2020 10:59;2;2/02/2020 10:59;CitiBank Colombia;Current Account;;;STA-200202-000923;ED Discharged;1;88
Investment;Emergency;2/02/2020 10:18;2;2/02/2020 10:18;CitiBank Colombia;Current Account;;;STA-200202-000890;ED Discharged;1;97
Cards;Emergency;2/02/2020 8:43;4;2/02/2020 8:43;CitiBank Colombia;Current Account;;;STA-200202-000762;ED Discharged;1;48
Banking;Emergency;2/02/2020 7:50;4;2/02/2020 7:50;CitiBank Colombia;Current Account;;;STA-200202-000693;ED Discharged;1;6
Deposit Account;Emergency;2/02/2020 0:53;2;2/02/2020 0:53;CitiBank Colombia;Current Account;;;STA-200202-000066;ED Discharged;1;137
Loans;Emergency;1/02/2020 15:20;4;1/02/2020 15:20;CitiBank Colombia;Current Account;;;STA-200201-000942;ED Discharged;1;68
